Product line,Quantity,Crude_oil_Price,Gold_Price,S&P_500_Price,Nasdaq_100_Price,Crude_oil_Price_lag1,Gold_Price_lag1,S&P_500_Price_lag1,Nasdaq_100_Price_lag1,Crude_oil_Price_mean_rolling,Gold_Price_mean_rolling,S&P_500_Price_mean_rolling,Nasdaq_100_Price_mean_rolling,Holiday_Indicator,var1,var2,var3,var4
0,3,58.61,1295.1,2808.48,7243.01,58.26,1309.3,2810.92,7256.98,58.53099999999999,1304.808,2806.552,7243.045999999999,0,7.166343191229542,4.070905330488338,7.940398690708036,8.887792144837753
2,5,56.92,1347.9,2784.7,7062.34,56.09,1344.8,2779.76,7066.61,56.422,1346.0400000000002,2781.736,7064.901999999999,0,9.206303104744224,6.041646773221651,9.93189542663099,10.862531720330814
5,5,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,12.164681708263917,9.042875813846909,12.826782263899172,13.839585338600823
4,8,59.265,1301.04,2783.3,7164.02,59.265,1301.04,2783.3,7164.02,59.265,1301.04,2787.5000000000005,7183.414000000002,0,11.170919223620192,8.082018912531463,11.931392553057174,12.876826554913166
0,9,59.265,1301.04,2771.45,7112.47,59.265,1301.04,2789.65,7156.78,59.265,1301.04,2783.0019999999995,7137.866,0,7.170919223620192,4.082018912531463,7.927125927924978,8.869604860499505
5,3,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.056,7217.222,0,12.170919223620192,9.082018912531463,12.938909232445724,13.89027146215853
4,1,59.04,1312.3,2800.71,7326.06,59.98,1307.3,2854.88,7493.27,59.792,1308.3,2844.0460000000003,7459.828000000001,0,11.17953660190224,8.078215180292217,11.937628235448068,12.899193133313412
3,7,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,59.265,1301.04,2804.3,7260.99,0,10.170919223620192,7.082018912531463,10.938909232445724,11.89027146215853
4,3,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,56.99,1292.95,2506.85,6902.13,0,11.164681708263917,8.042875813846909,11.826782263899172,12.839585338600823
1,3,59.94,1315.0,2818.46,7351.15,59.94,1315.0,2818.46,7351.15,59.716,1316.52,2814.44,7344.312,0,8.181591944611865,5.0933440618885175,8.943945915474853,9.902612042552922
4,9,59.83,1301.7,2824.23,7380.75,59.03,1306.5,2832.57,7349.28,59.19,1305.54,2830.902,7355.574,0,11.171426381472417,8.09150720740194,11.945991040055894,12.906630538447205
1,1,55.99,1317.78,2737.7,7023.52,55.99,1317.78,2737.7,7023.52,55.99,1317.78,2737.7,7023.52,0,8.183703781554716,5.025173103360802,8.914873430816781,9.857019795850023
